question,answer
"I have $12k in a Chase checking account, but want to start earning interest/saving/investing/etc to make more money. What should I do?","First thing's first: migrate your savings to an interest-bearing savings account (such as from Ally Bank). While it still lags behind inflation, 0.84% is still better than 0.00%. Short-term CDs are also an option. I've personally thought about experimenting with peer-to-peer lending, but a few thousand in savings isn't all that much in the grand scheme of things, and you don't want it tied up in a risky, speculative loan when you might need it the most. As the others have said, the general savings rules apply too: pay off high-interest debt, divert more money into your 401k (especially if you aren't hitting the match yet), then work on either whittling down other debts or saving more for a big purchase in the future."
How do I figure out if I will owe taxes,"Do you have a regular job, where you work for somebody else and they pay you a salary? If so, they should be deducting estimated taxes from your paychecks and sending them in to the government. How much they deduct depends on your salary and what you put down on your W-4. Assuming you filled that out accurately, they will withhold an amount that should closely match the taxes you would owe if you took the standard deduction, have no income besides this job, and no unusual deductions. If that's the case, come next April 15 you will probably get a small refund. If you own a small business or are an independent contractor, then you have to estimate the taxes you will owe and make quarterly payments. If you're worried that the amount they're withholding doesn't sound right, then as GradeEhBacon says, get a copy of last year's tax forms (or this year's if they're out by now) -- paper or electronic -- fill them out by estimating what your total income will be for the year, etc, and see what the tax comes out to be."
Opening and funding an IRA in three days - is this feasible?,"A few years ago, I did something like this at a Wells Fargo; I realized I could put money into an IRA a few days before 4/15, and was able to walk in to the main branch and do the whole thing in under an hour."
Does the stock market create any sort of value?,"It's not a ponzi scheme, and it does create value. I think you are confusing ""creating value"" and ""producing something"". The stock market does create value, but not in the same way as Toyota creates value by making a car. The stock market does not produce anything. The main way money enters the stock market is through investors investing and taking money out.   The only other cash flow is in through dividends and out when businesses go public.  &  The stock market goes up only when more people invest in it. Although the stock market keeps tabs on Businesses, the profits of Businesses do not actually flow into the Stock Market. Earnings are the in-flow that you are missing here. Business profits DO flow back into the stock market through earnings and dividends. Think about a private company: if it has $100,000 in profits for the year then the company keeps $100,000, but if that same company is publicly traded with  100,000 shares outstanding then, all else being equal, each of those shares went up by $1. When you buy stock, it is claimed that you own a small portion of the company. This statement has no backing, as you cannot exchange your stock for the company's assets. You can't go to an Apple store and try to pay with a stock certificate, but that doesn't mean the certificate doesn't have value. Using your agriculture example, you wouldn't be able to pay with a basket of tomatoes either. You wouldn't even be able to pay with a lump of gold! We used to do that. It was called the barter system.  Companies also do buy shares back from the market using company cash. Although they usually do it through clearing-houses that are capable of moving blocks of 1,000 shares at a time."
How much time would I have to spend trading to turn a profit?,"It depends on how you define trading.  If you're looking at day-trading, where you're probably going to be in a highly-leveraged position for minutes or hours, the automated traders are probably going to kill you.  But, if you have a handful (less than a dozen) equities, and spend about an hour or so every week conducting research, you have a good chance of doing pretty well. You need to understand the market, listen to the earnings calls, and understand the factors that contribute to the bottom line of your investments.  You should not be trading for the sake of trading, you're trading to try to achieve the best returns. Beware of dogmatists and people selling products that align with their dogma. Warren Buffet invests in companies for an extremely long investment window. Mr. Buffet also expends significant resources to gain a deep understanding of the fundamentals of the businesses that he invests in and the factors affecting those fundamentals. Buffet does not buy an S&P 500 index fund and whistle dixie."
Is dividend taxation priced in derivatives?,"No. Black Scholes includes a number of variables to calculate the value of the derivative but taxation isn't one of them. Whether you are trading options or futures, the dividend itelf may be part of the equation, but not the tax on said dividend."
Why do people buy stocks that pay no dividend?,"There are many stocks that don't have dividends. Their revenue, growth, and reinvestment help these companies to grow, and my share of such companies represent say, one billionth of a growing company, and therefore worth more over time.  Look up the details of Berkshire Hathaway. No dividend, but a value of over $100,000. Not a typo, over one hundred thousand dollars per share."
Stopping Payment on a Check--How Long Does it Take?,"Is this a USA bank to a USA bank transaction?  If so, it will clear in one to two business days.  Once cleared, the landlord cannot stop pay it.  He can, however, dishonestly claim it was a fraudulent check and attempt a chargeback. If you want absolute certainty the money will not be recalled, go to the landlord's bank and cash the check as a non-customer.  You will have to pay a small fee, but you will walk out with cash.  I suggest you take a photocopy of the check, and staple your receipt to it as evidence that the check was cashed for any impending legal proceedings."
My boss wants to buy me a gift. How do I account for taxes for this?,"Gifts given and received between business partners or employers/employees are treated as income, if they are beyond minimal value. If your boss gives you a gift, s/he should include it as part of your taxable wages for payroll purposes - which means that some of your wages should be withheld to cover income, social security, and Medicare taxes on it. At the end of the year, the value of the gift should be included in Box 1 (wages) of your form W-2. Assuming that's the case, you don't need to do anything special. A 1099-MISC would not be appropriate because you are an employee of your boss - so the two of you need to address the full panoply of employment taxes, not just income tax, which would be the result if the payment were reported on 1099-MISC. If the employer wants to cover the cost to you of the taxes on the gift, they'll need to ""gross up"" your pay to cover it. Let's say your employer gives you a gift worth $100, and you're in a 25% tax bracket. Your employer has to give you $125 so that you end up with a gain of $100. But the extra $25 is taxable, too, so your employer will need to add on an extra $6.25 to cover the 25% tax on the $25. But, wait, now we've gotta pay 25% tax on the $6.25, so they add an extra $1.56 to cover that tax. And now they've gotta pay an extra $.39 . . .  The formula to calculate the gross-up amount is: where [TAX RATE] is the tax rate expressed as a percentage. So, to get the grossed-up amount for a $100 gift in a 25% bracket, we'd calculate 1/(1-.25), or 1/.75, or 1.333, multiply that by the target gift amount of $100, and end up with $133.33.  The equation is a little uglier if you have to pay state income taxes that are deductible on the federal return but it's a similar principle.  The entire $133.33 would then be reported as income, but the net effect on the employee is that they're $100 richer after taxes. The ""gross-up"" idea can be quite complicated if you dig into the details - there are some circumstances where an additional few dollars of income can have an unexpected impact on a tax return, in a fashion not obvious from looking at the tax table.  If the employer doesn't include the gift in Box 1 on the W-2 but you want to pay taxes on it anyway, include the amount in Line 7 on the 1040 as if it had been on a W-2, and fill out form 8919 to calculate the FICA taxes that should have been withheld."
Deductions greater than Income : Traditional IRA to Roth Conversion?,"Yes. A most emphatic yes.  I suggest you look at your 2014 return and project what 2015 will look like. I'd convert enough to ""top off"" the 15% bracket. Note, if you overshoot it, and in April 2016, see that you are say $5K into the 25% rate, you can just recharacterize the amount you went over and nail the bracket to the dollar.  If you have the time and patience, you can convert into 2 different Roth accounts. One account for one asset class, say large cap stocks/funds, the other, cash/bonds. In April, keep the account that outperformed, and only recharacterize the lagger. Roth Roulette is my name for this strategy. It's risk free, and has the potential to boost the value of your conversions.  Edit - To be clear, you are permitted to recharacterize (undo) any or all of the converted amount. You actually have until tax time (4/15 or so) plus the 6 month extension. You can recharacterize for any reason - A personal anecdote - I manage my mother in law's money. She is well under the 25% bracket cutoff. Each year I convert, and each April, recharacterize just enough to be at the top of the 15% bracket. Over $100K has been shifted from Traditional IRA to Roth by now. Taxed at 15% so her daughters will 'not' pay 25% when they withdraw. $10K in tax saved from uncle sam, for my effort of filling out paper twice a year for 12 years now. Well worth my effort."
How can I pay for school to finish my degree when I can't get a student loan and have bad credit?,"a) Talk to the financial aid counselors at your school. There's a very good chance they have at least a partial solution for you. Let them know your dependency status has changed (if it has). I declared myself to be financially independent from my parents (I really was) and qualified for more aide. b) How much austerity are you willing to endure? I once spent two years eating beans & rice twice a day (lots of protein and other nutrients) while I worked full-time and went back to school to pursue a second degree part-time. I also shunned all forms of recreation (not even a movie) to save money (and so I could focus on staying current with assignments). During another period in my life, I gave up cable, cell-phone, land-line (and used Skype only), and avoided unnecessary use of my car, so I could clear a debt. You'd be amazed at how much you can squeeze from a budget if you're willing to endure austerity temporarily. c) Consider going to school part-time, taking as few as one course at a time if allowed. It's a lot easier to pay for one or two courses than to pay for 4 or 5. It may take longer, but at least you won't lose your credits and it won't take forever."
What is a good service that will allow me to practice options trading with a pretend-money account? ,"Try wallstreetsurvivor.com It gives you $100k of pretend money when you sign up, using which you can take various courses on the website. It will teach you how to buy/sell stocks and build your portfolio. I am not sure if they do have Options Trading specifically, but their course line up is great!"
"For a mortgage down-payment, what percentage is sensible?","In Australia, you will typically be required to pay for mortgage insurance if you borrow more than 80% of the value of the property.  Basically this means another ~1% on top of the regular interest rate.  So it's in your interests to save until you can at least reach that point. If you can't rent and save at the same time, it suggests your finances may be too stretched for buying now to be a good idea."
401k with paltry match or SPY ETF?,"Answers: 1. Is this a good idea? Is it really risky? What are the pros and cons? Yes, it is a bad idea. I think, with all the talk about employer matches and tax rates at retirement vs. now, that you miss the forest for the trees. It's the taxes on those retirement investments over the course of 40 years that really matter. Example: Imagine $833 per month ($10k per year) invested in XYZ fund, for 40 years (when you retire). The fund happens to make 10% per year over that time, and you're taxed at 28%. How much would you have at retirement? 2. Is it a bad idea to hold both long term savings and retirement in     the same investment vehicle, especially one pegged to the US stock     market? Yes. Keep your retirement separate, and untouchable. It's supposed to be there for when you're old and unable to work. Co-mingling it with other funds will induce you to spend it (""I really need it for that house! I can always pay more into it later!""). It also can create a false sense of security (""look at how much I've got! I got that new car covered...""). So, send 10% into whatever retirement account you've got, and forget about it. Save for other goals separately.  3. Is buying SPY a ""set it and forget it"" sort of deal, or would I need     to rebalance, selling some of SPY and reinvesting in a safer vehicle     like bonds over time? For a retirement account, yes, you would. That's the advantage of target date retirement funds like the one in your 401k. They handle that, and you don't have to worry about it. Think about it: do you know how to ""age"" your account, and what to age it into, and by how much every year? No offense, but your next question is what an ETF is! 4. I don't know ANYTHING about ETFs. Things to consider/know/read? Start here: http://www.investopedia.com/terms/e/etf.asp 5. My company plan is ""retirement goal"" focused, which, according to     Fidelity, means that the asset allocation becomes more conservative     over time and switches to an ""income fund"" after the retirement     target date (2050). Would I need to rebalance over time if holding     SPY? Answered in #3. 6. I'm pretty sure that contributing pretax to 401k is a good idea     because I won't be in the 28% tax bracket when I retire. How are the     benefits of investing in SPY outweigh paying taxes up front, or do     they not? Partially answered in #1. Note that it's that 4 decades of tax-free growth that's the big dog for winning your retirement. Company matches (if you get one) are just a bonus, and the fact that contributions are tax free is a cherry on top. 7. Please comment on anything else you think I am missing I think what you're missing is that winning at personal finance is easy, and winning at personal finance is hard"
Net income correlation with Stock Price,"Ideally, stock price reflects the value of the company, the dividends it is expected to pay, and what people expect the future value of the company to be. Only one of those (maybe one and a half) is related to current  sales, and not always directly. Short-term motion of a stock is even less directly linked, since it also reflects previous expectations. A company can announce disappointing sales and see its stock go up, if the previous price was based on expecting  worse news."
What is Bearish Bar Reversal?,"What it is trying to describe is the psychology around the current price of the stock.  In candlestick charts for example, if you get what is called a Bearish Engulfing Candle (where the open is higher than the previous day's close and the close is lower than the previous day's open) at the top of an uptrend, this could mean that the top may have been reached and the bears are taking over the bulls. A Bearish Engulfing candle is seen as a bearish reversal pattern, as the bulls start the day by opening the stock at a higher price than yesterday's close, but by the end of the day the bears have taken over as the price drops below yesterday's open. This reversal pattern can be even more pronounced and effective if it coincides with other chart indicators, such as an overbought momentum indicator. If you want to learn more look up about the Psychology of the market and Candlestick Charting."
"For net worth, should I value physical property at my cost to replace it, or the amount I could get for selling it?","You are not asking for insurance purposes. So I'll go with this - I have two asset numbers I track. All investments, retirement accounts, etc, the kind that are valued at day's end by the market, etc. From that number I subtract the mortgage. This produces the number that I can say is my net worth with a paid in full house. The second number simply adds back the house's value, give or take.  Unless I owned art that was valued in the six figures, it seems pointless to me to add it up, except for insurance. If my wife and I died tomorrow, the kid can certainly auction our stuff off, but knowing that number holds no interest for us. When most people talk 'net worth', I don't see them adding these things up. Cars, maybe, but not even that."
How do I pay my estimated income tax?,"Congratulations on starting your own business. Invest in a tax software package right away; I can't recommend a specific one but there is enough information out there to point you in the right direction: share with us which one you ended up using and why (maybe a separate question?) You do need to make your FICA taxes but you can write off the SE part of it. Keep all your filings as a PDF, a printout and a softcopy in the native format of the tax software package: it really helps the next tax season. When you begin your business, most of the expenses are going to be straightforward (it was for me) and while I had the option of doing it by hand, I used software to do it myself. At the beginning, it might actually seem harder to use the tax software package, but it will pay off in the end. Build relationships with a few tax advisors and attorneys: you will need to buy liability insurance soon if you are in any kind of serious (non hobby) business and accounting for these are no trivial tasks. If you have not filed yet, I recommend you do this: File an extension, overpay your estimated taxes (you can always collect a refund later) and file your return once you have had a CPA look over it. Do not skimp on a CPA: it's just the cost of running your business and you don't want to waste your time reading the IRS manuals when you could be growing your own business. Best of luck and come back to tell us what you did!"
Will I be able to purchase land?,"If there is land for sale, you can buy it. The United States doesn't have many restrictions on the purchase of land. However, you need to be able to afford it. Dependent on where you are looking $20,000 can either be a lot or very little land, I suspect that the question you were looking to ask is 'can I afford it?'. Have a look around, there should be plenty of places for you to find land for sale. As for credit, it is more important that you don't build bad credit. With things like mortgages, your salary is likely to be more important than your credit score alone, but no one will give you a dime if you have a record of not paying your bills."
What determines price fluctuation of groceries,"Yes and no. First off, commodity prices reflect the cost of a good about 3 steps back in the retail supply chain; the agreed-upon price for the raw foodstuff between farmers/ranchers and manufacturers. Your grocer may carry bags of whole grain wheat, but that's certainly not all he carries that contains it. Same for corn, rice and other staple grains, as well as for fruits and vegetables, herbs (yes, you can buy basil by the ton on the CME), meats, various sugars, etc. So, a long-term sustained change in prices of a commodity foodstuff will eventually affect the real cost to you to buy things they're made from. However, in the short term, the retail supply chain will generally act as a buffer between these prices and the ones you see on the store shelf. Consumers don't like price increases, especially of necessities like food. When food costs go up, consumers can and will very quickly change their spending habits, buying cheaper options to get their needed calories. That makes manufacturers nervous; consumers not buying their product is a worse scenario than consumers buying their product at a reduced gain or even at a loss. So, manufacturers, and suppliers and retailers, will all absorb as much as they can of the cost of a commodities increase before beginning to pass it on to consumers. On the flip side, while consumers like price drops, they don't notice them as much as price increases. So, the supply chain will also absorb a fall in commodity prices by resisting price reductions in the consumer goods, as long as they can get away with it (which is usually longer than the price reduction actually lasts). The net effect is that processed food prices typically follow the gentle upward climb of long-term inflation, and only rarely do you see drastic price increases or decreases. Where this model breaks down a little bit is in highly perishable foodstuffs, especially seasonal or ""wild-managed"" foods; fruits and vegetables, seafood, etc. The limited time in which the stuff can be sold makes the process of getting a fish out of the ocean and a fruit off the tree and into your grocery store much more market-driven; the producers, suppliers and grocers are all in constant contact over what's available and how much they can get for what price. The prices therefore are typically a lower markup (unlike highly processed grain-based foods, there's not much added value to be marked up between the apple farmer picking the fruit and the grocer putting it on display), but also much more volatile; if there's a bumper crop of fruit, the farmer has to unload it all or it goes to waste, while similarly if an early freeze decimated the apple crop, the suppliers can't just get some of last year's bumper crop out of storage; they fight with everyone else for what little made it to market. Farmers will sometimes intentionally let excess crop spoil in order to maintain a minimum price for what they sell (the rest can at least be composted and used for fertilizer, saving them some money on maintenance), but there's no silver bullet for a shortage. This is why a lot of these foods, especially seafood, are considered luxury items; they're not stable enough for everyone to get as much as they want whenever they want, unlike staple grains."
Sell Stock using Limit,"if I put a limit sell at $22.00 now, will it not sell until it's at $22.00 and I will continue to keep the stock? Basically yes. But note that brokers generally don't allow such limit orders to persist indefinitely. The default may even be that they're only valid until the end of the day, and usually the maximum validity is 30 or 60 days."
How can I import customers and invoices from a previous year's Gnucash file?,"There does not appear to be a way to export the customers and invoices nor a way to import them into another data file if you could export them. However, as said in the comments to your question, your question seems predicated upon the notion that it is 'best practice' to create a new data file each year. This is not considered necessary It should be noted that GnuCash reports should be able to provide   accurate year-end data for accounting purposes without zeroing   transactions, so book-closing may not be necessary. Leaving books   unclosed does mean that account balances in the Chart of Accounts will   not show Year-To-Date amounts.   - Closing Books GnuCash Wiki The above linked wiki page has several methods to 'close the books' if that is what you want to do - but it is not necessary. There is even a description on how to create a new file for the new year which only talks about setting up the new accounts and transactions - nothing about customers, invoices etc. Note that you can 'close the books' without creating a new data file. In summary: you cannot do it; but you don't need to create a new file for the new year so you don't need to do it."
Does the Black-Scholes Model apply to American Style options?,"Black-Scholes is ""close enough"" for American options since there aren't usually reasons to exercise early, so the ability to do so doesn't matter. Which is good since it's tough to model mathematically, I've read. Early exercise would usually be caused by a weird mispricing for some technical / market-action reason where the theoretical option valuations are messed up. If you sell a call that's far in the money and don't get any time value (after the spread), for example, you probably sold the call to an arbitrageur who's just going to exercise it. But unusual stuff like this doesn't change the big picture much."
Are there contracts for fixed pay vs. fixed pay rates?,"Yes. I have personally signed such contracts (fixed budget software development) and lost money every single time. And yes, it is quite possible for you to get paid under minimum wage if you take too long. Scope creep is the primary culprit for these kinds of contracts, so make sure you put together iron-clad explanations of what is and is not covered by the contract (and pad the asking price for good measure)."
Optimal way for withdrawing vested company match from my 401k?,"You can borrow against a 401k for 5 years. This defers any penalty fees that the IRS mandates. Put the cash back in your 401k within those 5 years. you can also solo administer 401k plans even if you have an unincorporated business, so you can start one of those if you have any other form of cashflow, and there may be a way to get the other plan rolled into your solo one.  http://www.irs.gov/publications/p560/ch04.html#en_US_publink10009053"
Should I replace bonds in a passive investment strategy,"The fact that some asset (in this case corporate bonds) has positive correlation with some other asset (equity) doesn't mean buying both isn't a good idea.  Unless they are perfectly correlated, the best risk/reward portfolio will include both assets as they will sometimes move in opposite directions and cancel out each other's risk.  So yes, you should buy corporate bonds.  Short-term government bonds are essentially the risk-free asset.  You will want to include that as well if you are very risk averse, otherwise you may not.  Long-term government bonds may be default free but they are not risk free.  They will make money if interest rates fall and lose if interest rates rise.  Because of that risk, they also pay you a premium, albeit a small one, and should be in your portfolio. So yes, a passive portfolio (actually, any reasonable portfolio) should strive to reduce risk by diversifying into all assets that it reasonably can.  If you believe the capital asset pricing model, the weights on portfolio assets should correspond to market weights (more money in bonds than stocks).  Otherwise you will need to choose your weights.  Unfortunately we are not able to estimate the true expected returns of risky assets, so no one can really agree on what the true optimal weights should be.  That's why there are so many rules of thumb and so much disagreement on the subject.  But there is little or no disagreement on the fact that the optimal portfolio does include risky bonds including long-term treasuries. To answer your follow-up question about an ""anchor,"" if by that you mean a risk-free asset then the answer is not really.  Any risk-free asset is paying approximately zero right now.  Some assets with very little risk will earn a very little bit more than short term treasuries, but overall there's nowhere to hide--the time value of money is extremely low at short horizons.  You want expected returns, you must take risk."
Is there a NY tax form to use when one is missing a K-1 (or 1065) from an LLC?,"Form 10-K is filed by corporations to SEC. You must be thinking of form 1065 (its schedule K) that a partnership (and multi-member LLC) must file with the IRS. Unless the multi-member LLC is legally dissolved, it must file this form. You're a member, so it is your responsibility, with all the other members, to make sure that the manager files all the forms, and if the manager doesn't - fire the manager and appoint another one (or, if its member managed - chose a different member to manage). If you're a sole member of the LLC - then you don't need to file any forms with the IRS, all the business expenses and credits are done on your Schedule C, as if you were a sole propriator."
Are there any Social Responsibility Index funds or ETFs? ,"At the other end of the spectrum is the VICEX fund.  it invests in industries such as tobacco, gaming, defense/weapons, liquor and other companies whose products or services are widely considered not to be socially responsible"
In which situations is it better to consider a loan instead of paying cash?,"Your practice of waiting until you can pay cash is a good one. It will certainly prevent you from getting into debt! Now, to be clear, your question puts a credit card in the same category as a loan, but it doesn't have to be. You could use a credit card almost like cash, if you are careful. I'm not familiar with the system in France, but in the US, even if you are paying cash all the time, there are some benefits to getting a credit card and paying it off in full every month, instead of simply paying with cash. Some of those benefits are: One pretty big downside of having a credit card depends on your personality. Some people, once they have credit, end up spending beyond their means, and end up getting into debt. Please look into whether credit cards work the same way in France before considering the above advice. As for your question regarding getting a loan vs paying cash, that will usually be personal preference, since with a loan you can buy expensive items (such as a house or car) much sooner than you otherwise could if you waited until you saved the money. For example, it might take 10 years or more to build up enough money to purchase a house with cash, so if you don't want to wait that long, you'll need to finance it."
"Fund or ETF that simulates the investment goals of an options ""straddle"" strategy?","*Volatility and the VIX can be very tricky to trade.  In particular, going out longer than a month can result in highly surprising outcomes because the VIX is basically always a one month snapshot, even when the month is out in the future."
What are the best options for an RESP for my 2 year old kid?,"Since your child is 2, he has a long time horizon for investment.  Assuming the savings will be used at age 19, that's 17 years.  So, I think your best bet is to invest primarily in equities (i.e. stock-based funds) and inside an RESP. Why equities?  Historically, equities have outperformed debt and cash over longer time periods.  But, equities can be volatile in the short term. So, do purchase some fixed-income investments (e.g. 30% government bonds and money market funds), and do also spread your equity money around as well -- e.g. buy some international funds in addition to Canadian funds.  Rebalance every year, and as your child gets closer to university age, start shifting some assets out of equities and into fixed-income, to reduce risk.  You don't want the portfolio torpedoed by an economic crisis the year before the money is required! Next, why inside an RESP? Finally... what if your kid doesn't attend post-secondary education?  First, you should probably get a Family RESP, not a Group RESP.  Group RESPs have strict rules and may forfeit contributions if your kid doesn't attend.  Have a look at Choosing the Right RESP and Canadian Capitalist's post The Pros and Cons of Group RESP Plans. In a Family plan, if none of your kids end up attending post-secondary education, then you forfeit the government match money -- the feds get it back through a 20% surtax on withdrawals.  But,  you'll have the option of rolling over remaining funds into your RRSP, if you have room."
Buy securities at another stock exchange,"Really arbitrage means that, currency risk aside, it shouldn't matter which exchange you buy on in price terms alone. Arbitrage will always make sure that the prices are equivalent otherwise high frequency traders can make free money off the difference. In practical terms liquidity and brokerage costs usually make trading on the ""home"" exchange more worthwhile as any limit orders etc will be filled at a better price as you will more easily find a counterparty to your trade. Obviously that will only be an issue where your quantity is significant enough to move the market on a given exchange. The volume needed to move a market is dependent upon the liquidity of the particular stock."
"What is the ""Bernanke Twist"" and ""Operation Twist""? What exactly does it do?","To understand the Twist, you need to understand what the Yield Curve is.  You must also understand that the price of debt is inverse to the interest rate. So when the price of bonds (or notes or bills) rises, that means the current price goes up, and the yield to maturity has gone down.  Currently (Early 2012) the short term rate is low, close to zero. The tools the fed uses, setting short term rates for one, is exhausted, as their current target is basically zero for this debt. But, my mortgage is based on 10yr rates, not 1 yr, or 30 day money. The next step in the fed's effort is to try to pull longer term rates down. By buying back 10 year notes in this quantity, the fed impacts the yield at that point on the curve. Buying (remember supply/demand) pushes the price up, and for debt, a higher price equates to lower yield. To raise the money to do this, they will sell short term debt. These two transactions effectively try to ""twist"" the curve to pull long term rates lower and push the economy."
